UID,Top_Lane,Top_Team,Top_Oper,Jun_Lane,Jun_Team,Jun_Oper,Mid_Lane,Mid_Team,Mid_Oper,AD_Lane,AD_Team,AD_Oper,Sup_Lane,Sup_Team,Sup_Oper,Total_Lane,Total_Team,Total_Oper,AVG_Lane,AVG_Team,AVG_Oper
IvF5OGX2EgTfdZfaB711NaG5eSq1,16,26,11,16,17,18,16,31,4,16,17,11,16,13,15,80,104,59,,,
Fmofjc1BUuUSRe55e1oCO2vDFW63,16,0,49,16,0,49,16,0,49,16,0,49,16,0,49,80,0,245,,,
Zxwzx8uxq1QQ9rEiyf7n2Yr1Med2,8,12,2,7,12,11,7,16,1,7,12,9,7,9,13,36,61,36,,,
NgeTSUrIzdXs5cgO71EpIyNRwKg2,5,10,5,5,10,3,5,12,2,4,12,2,5,7,1,24,51,13,,,
gDnFWfagmsWvHkqpTyEvv0klsV92,16,0,49,16,0,49,16,0,49,16,0,49,16,0,49,80,0,245,,,
cmR9FSI6qTPA2Z3F2Cd0l64wyNU2,4,0,12,4,4,8,4,3,9,3,0,9,3,0,11,18,7,49,,,
2sgkJEG0sHemjafUK0OSg8VyRxg1,9,0,25,9,0,24,9,0,26,9,1,28,9,4,22,45,5,125,,,
CY5mxGzTv7Q7JICicFtpo89fHmL2,4,0,12,5,0,11,5,2,12,4,0,14,4,0,8,22,2,57,,,
eQD19sd5YgatjHkRVh7LZbWsEVk2,5,0,16,5,0,16,6,9,10,5,0,16,5,0,3,26,9,61,,,
dAeERiogPVcAHGExVKvBdn3kdHc2,7,8,9,6,2,17,6,14,3,6,3,9,6,0,13,31,27,51,,,
6DNcL3cheFN0XM33iHUOTMFbWip1,8,16,4,7,15,3,8,2,13,8,16,7,8,5,8,39,54,35,,,
VpFXpdAcvVgAa7UwEJZpKURxLcB3,12,29,0,11,29,0,12,29,0,13,30,0,12,30,0,60,147,0,,,
lvuj5IWuLvWNh9tjvydHfTInEji1,8,5,12,8,3,10,6,8,4,6,4,13,7,8,7,35,28,46,,,
ceyODlM9xsTFVn8GmXsALy4RjFt1,5,2,14,5,1,15,5,11,5,5,7,9,5,12,4,25,33,47,,,
nXgA62r7o6dDnYSpC7hjTupB1wt2,2,3,4,4,0,2,4,4,4,3,6,4,3,5,2,16,18,16,,,
id7etSBehjaX0WR0S2P6W5JGTbp2,5,6,6,6,0,12,6,5,6,5,2,4,5,5,6,27,18,34,,,
772g7lwyO9PLY3umkysVu9cbY9q2,5,0,17,5,0,17,5,2,15,5,0,18,6,2,15,26,4,82,,,
yT0boTMnDGXxZTc8IGjX5hrry8n2,11,0,34,11,0,34,12,0,35,11,0,35,12,3,30,57,3,168,,,
SB930SvQ89NKqAR0cdewlUpcQPG2,5,14,0,5,18,0,6,18,0,6,19,0,5,16,0,27,85,0,,,
jzbLzkJj9DWE1di4q2MJP9cTm9u1,3,6,2,4,6,5,5,10,0,5,8,7,5,8,6,22,38,20,,,
jjHlUDDAG1XXdFhopKIajt0LFsr2,3,11,0,5,11,0,3,11,0,4,11,0,4,11,0,19,55,0,,,
QQfwxBwIMjhgLtXIORYimHttdH73,16,0,49,16,0,49,16,0,49,16,0,49,16,0,49,80,0,245,,,
0Vjkm9nmshhztGqWFdi30ns0J7K2,6,11,3,5,5,10,5,10,1,6,8,2,6,1,8,28,35,24,,,
M9cNThHrnNRrVjzSNtWnqrPD32r2,4,5,5,4,1,11,4,1,12,4,0,14,4,0,14,20,7,56,,,
HjUPxhynsLh44FRx4Rp6TzeSm563,4,1,1,3,4,6,4,3,3,4,10,1,4,2,8,19,20,19,,,
hreN8lQkAdSJdFzCGaAcON98OVn2,16,6,36,16,6,26,16,7,36,16,7,36,16,7,36,80,33,170,,,
1pK4gx7losVqOuIUyiJu1UVkIom2,5,6,5,4,3,5,4,4,4,5,8,3,3,0,3,21,21,20,,,
0PNrawOKhhWacf70jkjg8RtxEiC3,6,3,7,6,8,10,4,6,5,6,4,6,6,12,7,28,33,35,,,
XlY6IsLXn3ZNJ3q3uPC3vBgVbQ93,5,11,0,4,9,5,3,11,0,4,12,0,4,13,0,20,56,5,,,
hZPW2Hd1Q6dv0ppMhyqC8AZvFq42,6,3,11,6,2,2,6,4,11,6,7,8,5,5,8,29,21,40,,,
1yyYXDVTBKgdQQ49Z4kenvCoe792,5,2,4,4,4,5,5,5,5,4,6,5,4,5,9,22,22,28,,,
Xk1XxIgncpVdMsKf6vhqqQXBVeH2,12,10,20,12,14,20,12,18,13,12,4,32,11,22,12,59,68,97,,,
pU5ceykyPwWqyfE5PMby58hsXge2,6,15,5,5,0,16,8,9,6,7,0,18,8,9,1,34,33,46,,,
zFhuyHxSySfewNHfB4R0G5Pqlm03,4,1,9,5,3,4,4,1,10,4,1,8,5,3,6,22,9,37,,,
